Description	Valence_value	Arousal_value
persecution	3.021	7.270338983050848
jockstrap	3.638	4.29635593220339
elm	5.7	3.2919491525423727
prelim	4.948	3.882033898305085
morbidness	1.96	6.491525423728815
clubhouse	6.511	4.609576271186441
caffeine	6.118	6.6361864406779665
transporter	5.38	5.023389830508474
ignition	4.865	5.5209322033898305
unpublished	4.248	4.677966101694915
eventuality	4.752	5.923728813559323
high	6.121	4.516101694915254
evangelistic	6.28	3.788135593220339
close	4.283	3.311779661016949
wed	6.311	5.10635593220339
waltz	6.471	3.832372881355932
repetition	4.32	4.6242372881355935
uncontested	5.08	4.601694915254238
inoperative	2.104	4.211864406779661
turpentine	3.8049999999999997	4.638983050847457
disincline	4.664	4.4576271186440675
softener	6.55	2.751271186440678
chump	4.05	4.191101694915254
complementary	6.712000000000001	3.3220338983050848
bereaved	2.741	4.949745762711865
measurement	5.543	3.6212711864406777
daredevil	4.661	6.495508474576272
shadow	4.278666666666667	3.6389830508474574
blushing	5.08	7.296610169491526
lion	5.5553333333333335	6.058813559322034
vine	5.819	2.892372881355932
shabby	3.495	4.529237288135594
penthouse	6.322	5.171412429378531
upstanding	6.929	3.607627118644068
opulence	5.96	5.822033898305085
watered	5.92	3.0677966101694913
boisterous	4.08	7.440677966101695
distinctive	7.2	4.3984745762711865
departed	2.96	5.152542372881356
restock	4.96	4.219745762711864
expound	4.504	5.483050847457627
swift	6.456666666666666	5.818813559322034
reprise	4.672	4.8474576271186445
stinker	2.802	4.707627118644068
orange juice	6.686	3.7334745762711865
attentionseeker	3.9360000000000004	6.923728813559323
realistic	6.244999999999999	4.553474576271187
lovelife	7.696000000000001	5.779661016949153
compel	3.745	6.05906779661017
woohoo	6.263999999999999	6.28813559322034
polygon	4.92	5.338983050847458
stalemate	3.584	3.1950847457627116
sonnet	6.302	3.2158474576271185
feign	4.085	3.8345762711864406
twofold	5.584	3.4322033898305087
congestion	3.209	5.196271186440678
cleverness	7.487	5.236864406779661
chlorine	3.644	3.905677966101695
persuasive	6.38	5.706186440677966
injunction	3.714	4.223220338983051
hovel	3.742	3.404322033898305
alb	5.168	3.8305084745762716
garish	3.448	5.90677966101695
endpapers	5.336	4.0
rioting	2.834	6.986271186440678
anthem	6.595000000000001	3.9984745762711866
wasted	2.504	5.338983050847458
ferryboat	5.806	4.270338983050848
inflated	4.277	3.9063559322033896
obesity	2.7533333333333334	4.081920903954802
hostel	4.416	4.558728813559322
placebo	4.88	3.261694915254237
sodding	2.92	4.8474576271186445
implanted	3.7760000000000002	4.8474576271186445
tee	5.036	3.7255932203389834
bummer	2.4370000000000003	4.583728813559322
heritage	7.298	4.359576271186441
severity	3.44	6.062033898305085
implication	4.233	4.397372881355933
toxicology	3.518	5.273728813559322
experienced	7.167999999999999	5.805084745762712
warren	4.336	5.440677966101695
liberating	8.035	5.582203389830509
aneurysm	2.21	5.918813559322034
unbelievable	6.369	6.352542372881357
combustion	4.543	6.854576271186441
coloration	5.328	5.016949152542374
smoldering	6.08	7.228813559322034
moronic	2.613	4.328728813559322
jaded	3.33	4.572966101694916
encroach	3.416	6.898305084745763
spirits	5.664	7.788135593220339
dogsick	5.5680000000000005	4.76271186440678
regent	6.44	5.093220338983051
prisoner	2.1189999999999998	5.576271186440678
freak	2.573	7.010169491525424
contrary	4.058	4.062627118644068
overdue	2.6950000000000003	4.424406779661018
fucking	3.961	7.175762711864408
error	2.556	4.888728813559322
win	7.922	6.607175141242938
day	6.556000000000001	3.254915254237288
subject	5.573	3.8627118644067795
purple	6.1	3.5927966101694913
timepiece	6.2	2.9745762711864403
prized	7.224	4.79084745762712
mucis	4.183999999999999	4.1525423728813555
encouragement	7.3100000000000005	6.066186440677966
iceberg	4.401	5.153220338983051
pronounce	5.917	3.883474576271187
concert	7.752	6.563813559322034
adjoining	5.109999999999999	3.76
bookmark	5.802	3.6737288135593222
racetrack	6.212	6.348813559322034
isotope	4.891	3.381949152542373
restoring	7.56	4.76271186440678
coupled	5.896	3.0338983050847457
loafer	3.465	3.798050847457627
sicken	1.408	4.8474576271186445
hitherto	4.584	3.6271186440677967
godmother	6.692	4.097881355932204
midnight	5.838	4.321610169491525
credence	6.4350000000000005	4.574237288135594
overlaid	5.96	5.779661016949153
muscular	6.129333333333334	4.91271186440678
snatch	3.6959999999999997	6.338389830508475
hiking boot	5.723000000000001	3.690847457627118
edible	6.84	4.680932203389831
copious	4.416	4.52542372881356
loudmouth	3.468	5.516016949152542
egg	5.904	3.2308474576271187
sunbeam	6.832000000000001	4.338983050847458
gang	2.723	7.181779661016949
mountain	6.608	4.559265536723164
singly	5.4239999999999995	3.610169491525424
providence	5.824	3.4661016949152543
titanic	4.418	5.830593220338983
grant	6.752000000000001	3.8305084745762716
cashmere	6.422000000000001	4.120338983050848
gun	3.1020000000000003	7.72225988700565
worshipful	7.08	6.101694915254238
injured	1.6640000000000001	6.372881355932204
grr	2.832	5.169491525423728
home	7.740666666666667	3.629435028248588
guerrilla	4.026	6.9856779661016954
curvature	4.336	3.7203389830508478
displace	3.641	4.497457627118644
percentile	4.691	4.302372881355932
travesty	3.341	5.508898305084746
loveless	2.203	4.081694915254237
mindful	6.91	5.211864406779661
hindering	3.08	6.152542372881356
prevention	6.41	3.836949152542373
reflection	6.1899999999999995	4.4737288135593225
sludge	3.391	4.1730508474576276
speculative	3.208	5.618644067796611
acetic	3.6639999999999997	4.169491525423729
indenture	4.4719999999999995	3.8474576271186445
impregnable	4.351999999999999	4.60635593220339
reservoir	5.309	3.0845762711864406
afford	6.064	4.927711864406779
editing	5.641	4.806949152542373
unwillingness	2.6319999999999997	3.2457627118644066
suggestive	5.183	4.643728813559322
culpability	1.896	6.923728813559323
exhibit	6.137	5.727288135593221
clip	4.932	3.06864406779661
shitless	3.168	5.228813559322035
baggage	5.1899999999999995	3.843220338983051
catalysis	4.08	5.347457627118644
infidelity	1.798	6.447457627118645
dick	2.862	5.2237288135593225
fixer	6.227	3.2290677966101695
headmaster	5.361	4.414915254237288
injurious	2.416	7.0423728813559325
taoism	4.92	2.7288135593220337
horizon	6.656000000000001	3.6334745762711864
betting	2.896	7.423728813559323
resistive	4.168	5.008474576271187
handy	6.559	3.716779661016949
unlimited	6.58	5.204915254237289
apparatus	4.75	3.8008474576271185
clitoris	5.785	6.70635593220339
spawn	5.093	4.788135593220339
housework	4.406	3.850084745762712
attrition	2.832	5.186440677966102
carefree	7.3	3.5981920903954805
peculiarity	4.5120000000000005	4.4406779661016955
commodity	5.890000000000001	3.8495762711864407
relaxed	7.390000000000001	2.0842937853107344
celebrating	8.416	7.898305084745763
inserted	4.832	4.016949152542373
terrorists	1.496	8.805084745762713
meddling	2.96	5.694915254237288
fluted	4.504	4.322033898305085
paean	5.416	5.2457627118644075
bloodshed	2.497	6.906610169491525
busboy	4.895	4.179576271186441
misbehave	2.475	6.03406779661017
mishap	2.534	5.381271186440678
oblivious	3.666	3.699152542372881
incorrigible	3.02	5.52135593220339
parlay	4.9510000000000005	4.539067796610169
semi	4.469	3.426949152542373
mechanical	5.2509999999999994	5.4161016949152545
counterattack	3.704	7.249745762711864
snore	2.98	4.7448305084745765
boardwalk	6.502000000000001	4.383220338983051
vasectomy	3.747	6.009406779661017
logarithm	5.16	4.330508474576272
acceptable	7.043	3.341949152542373
tartar	3.6159999999999997	3.1573728813559327
embarrassed	3.004	5.535310734463277
ballistics	3.609	6.429830508474577
gunmen	1.584	8.593220338983052
grunting	3.5069999999999997	5.744322033898306
woozy	3.158	3.795338983050848
spitfire	4.022	5.654915254237288
nimble	6.957	5.6440677966101696
astonishing	7.141	6.588389830508475
El Nino	4.29	4.09
pathway	6.109	3.4273728813559323
milkshake	7.314	4.53771186440678
gaming	6.919	5.602288135593221
mesmerized	5.16	5.28813559322034
reorganize	6.003	4.885084745762712
living	7.92	5.76271186440678
artistic	7.208	5.5423728813559325
participant	6.008000000000001	4.483983050847458
shithead	2.165	6.038135593220339
vernal	5.4239999999999995	4.016949152542373
fundamentalist	4.695	4.197118644067796
banner	5.246	3.81593220338983
spit	2.596	4.3994067796610175
elliptic	5.0	4.262711864406779
trial	3.8919999999999995	5.639406779661017
veryangry	3.5839999999999996	6.661016949152543
backdrop	4.505	2.964406779661017
trifle	3.984	3.589322033898305
invite	6.32	5.6305084745762715
simile	5.92	3.686440677966102
aristocracy	5.856999999999999	4.70635593220339
practice	6.096	4.021186440677967
inhibition	3.535	4.111101694915254
cram	4.256	5.493305084745764
obstruct	2.7649999999999997	5.2466949152542375
salutary	8.08	3.6610169491525424
retard	2.9159999999999995	3.6904237288135597
guarded	7.064	6.423728813559322
garrison	4.875	4.558135593220339
rubble	3.557	4.3918644067796615
reactor	4.487	5.879491525423729
rep	5.01	4.441101694915254
volunteers	7.56	4.406779661016949
continue	5.825	3.5644067796610175
fuss	3.784	6.401949152542373
charm	7.258	4.452146892655367
cauldron	4.995	4.569406779661017
resemblance	6.311999999999999	3.010338983050848
corrective	4.7669999999999995	4.567372881355933
debenture	4.336	4.8474576271186445
tome	4.861000000000001	3.9440677966101694
devastate	1.168	7.3559322033898304
taxi	5.042000000000001	3.6259887005649722
pithy	4.755	3.490508474576271
emotional	6.171	5.990508474576272
inconsequential	3.37	3.913983050847458
equity	6.373	3.548220338983051
anthill	3.968	5.069237288135593
navigable	6.992000000000001	4.050847457627119
require	4.462	4.330254237288136
troupe	5.62	3.87542372881356
decade	4.9990000000000006	3.8134745762711866
liberty	7.894666666666667	5.205649717514124
extinction	2.466	5.983050847457627
monstrosity	2.796	7.173474576271186
gland	4.279	3.993728813559322
reside	5.089	3.884491525423729
death	1.5826666666666667	5.610621468926554
abate	3.04	6.508474576271187
shrubbery	4.92	2.8728813559322033
inflation	2.831	5.911016949152543
eve	5.896	3.813559322033898
intestine	3.557	4.461864406779661
treasurer	6.491	4.37228813559322
pizza	7.438666666666666	4.578418079096045
deer	6.276999999999999	3.8690677966101696
imitate	5.096	4.657203389830509
locomotive	5.643000000000001	5.809322033898305
demand	3.718	6.081779661016949
cabriolet	6.336	5.059322033898305
decedent	4.8420000000000005	3.918220338983051
prostitution	2.395	6.902118644067796
canine	5.901999999999999	5.096101694915254
curve	5.324999999999999	4.154067796610169
pie	6.966666666666666	4.088983050847458
leotard	5.09	4.097881355932204
tag	5.343	3.4458474576271185
grumble	1.8079999999999998	6.966101694915254
rocks	3.92	2.3813559322033897
snoop	2.761	6.465677966101695
holistic	6.345000000000001	3.2796610169491527
rectify	5.8	4.123983050847458
fungus	3.318	4.272033898305085
urn	2.961	3.958474576271187
planets	6.792000000000001	3.305084745762712
macho	5.492	5.208813559322033
hill	5.665	3.3758474576271187
divulge	5.019	6.062457627118643
exhilarated	7.510000000000001	7.660593220338983
prominence	6.648	5.610169491525424
bewildered	3.58	5.259576271186441
fishery	5.592	4.872881355932204
hateful	1.734	6.630423728813559
freehold	6.08	5.9491525423728815
leftout	2.832	3.703389830508475
awake	6.548	5.0423728813559325
praised	8.6	4.3474576271186445
edifice	5.204000000000001	3.9877118644067795
pertinent	5.4399999999999995	4.131101694915254
tingle	5.455	5.297966101694916
brachial	4.103999999999999	3.686440677966102
ripening	5.92	4.76271186440678
jean	5.933	3.3914406779661017
grasping	3.616	5.364406779661018
dipstick	4.005	3.3871186440677965
rival	3.934	5.27364406779661
runaway	3.609	5.542796610169492
extraction	4.101999999999999	6.040677966101695
boathouse	5.893000000000001	4.330254237288136
blond	6.076666666666665	4.277570621468927
dismantle	4.258	5.058898305084746
arthropod	3.752	4.5423728813559325
phone	6.461	3.4777118644067793
aftermath	3.893	4.897627118644068
arson	2.162	6.840593220338984
pain	1.742	6.621073446327684
bullpen	4.995	4.891355932203389
collarbone	4.7299999999999995	3.544406779661017
lint	4.202	2.258135593220339
extravagance	5.494	6.403389830508475
study	6.002000000000001	3.1097457627118645
slot	4.976	3.783050847457627
mademyday	6.5520000000000005	5.466101694915254
player	5.503	6.195338983050847
wardrobe	5.993	5.046101694915254
postmortem	3.279	4.719406779661018
cheater	2.391	7.1783898305084755
boat	5.744	4.1097457627118645
dune	5.010999999999999	2.418135593220339
gynecology	4.263999999999999	5.610169491525424
rewrite	4.5600000000000005	4.313728813559322
cutoff	3.798	4.426101694915254
parts	4.672	3.38135593220339
weapon	3.1173333333333333	6.676271186440679
incessantly	4.336	7.093220338983052
perseverance	7.217	4.679576271186441
numerator	4.92	3.296610169491526
menacing	2.238	6.413898305084746
metric	5.051	3.1909322033898304
shoeshine	4.9079999999999995	3.3949152542372882
wrest	4.416	6.966101694915254
reciprocity	6.92	6.313559322033898
obliterated	2.92	4.584745762711864
collect	5.99	3.9132203389830513
save	6.956666666666666	4.633502824858758
dildo	4.929	5.3373728813559325
ditty	5.07	3.979830508474576
dashboard	5.165	3.452118644067797
suppress	2.984	4.448728813559322
asinine	4.741	4.620084745762712
enhancement	7.1530000000000005	4.5763559322033895
cycle	5.859999999999999	4.21
exhort	4.023999999999999	6.203389830508475
yellow	6.022666666666666	3.7335593220338983
gimmick	3.965	5.429406779661017
slow	3.928666666666667	2.5029378531073445
rouge	5.523	4.09
colic	2.515	4.868728813559322
penetration	5.157	7.680084745762712
biochemistry	5.448	4.390084745762712
papyrus	4.672	2.6440677966101696
gladiator	5.105	6.3597457627118645
whiff	4.731	4.525
apologetic	5.741	4.258474576271187
tear	3.686	5.332203389830509
disclosure	4.855	4.486016949152543
makesmehappy	8.152000000000001	6.228813559322034
navigational	5.342	4.343220338983051
touchdown	6.723000000000001	5.997796610169492
peg	5.16	3.6355932203389836
subdue	3.185	4.666949152542373
deterioration	2.465	4.974576271186441
savior	7.56	4.918248587570621
stain	3.812	3.812966101694915
dilation	4.468	4.4513559322033895
endangerment	2.668	6.424237288135593
smart	7.989	4.782118644067797
savagery	2.752	8.296610169491526
passionate	8.045	6.974322033898305
originator	5.736000000000001	4.932203389830509
chewy	5.6850000000000005	3.9862711864406775
natural gas	5.275	3.357966101694915
outcast	2.542	4.792627118644068
backgammon	5.619999999999999	3.072372881355932
kazoo	5.3919999999999995	4.78771186440678
statue	5.485333333333333	2.7289265536723164
serve	5.668	3.85
destination	6.532	4.5858474576271195
familiarity	7.316000000000001	3.1061864406779662
vulgarity	1.832	7.983050847457628
bridle	4.416	3.7203389830508478
wrestler	4.71	6.121864406779661
submersible	4.3740000000000006	4.41
prescription	3.9829999999999997	3.3030508474576274
glorify	8.52	5.618644067796611
trigger	4.009	6.636864406779662
plummet	3.683	6.003050847457628
animal	6.114	4.616101694915255
busload	5.079000000000001	4.193220338983052
partly	4.32	4.084745762711864
lady	7.371	4.3682203389830505
startling	6.085	6.174322033898306
assail	4.023999999999999	4.932203389830509
dialysis	2.896	5.162627118644068
shin	4.881	4.2637288135593225
unhealthy	2.235	4.81135593220339
comfy	7.845000000000001	2.766271186440678
surplus	5.747999999999999	4.986440677966102
trusting	7.856	4.915254237288136
threesome	5.404999999999999	6.019491525423729
materiel	5.248	3.101694915254237
sociology	5.26	4.075254237288136
cheat	2.525	6.04822033898305
reputation	6.275	5.101694915254237
clutch	4.432	4.443728813559322
clearance	5.978	4.5
unzip	4.672	4.618474576271186
team	6.287	3.9484745762711864
soccer	6.212	6.191694915254238
evict	1.983	5.348050847457627
docket	4.785	4.111864406779661
coastline	7.23	3.225
crypt	2.459	4.19635593220339
forefront	5.2669999999999995	5.018728813559322
outburst	3.411	6.868389830508475
pole	4.9719999999999995	3.5165254237288135
minuscule	4.168	3.0338983050847457
folder	5.3100000000000005	2.65228813559322
wasteland	3.485	3.810169491525424
approaching	6.92	5.330508474576272
furiously	1.496	8.449152542372882
tempest	3.7399999999999998	6.507118644067797
crimp	4.015000000000001	4.370254237288136
staple	5.168	3.8416949152542377
buckshot	3.9	6.015677966101695
grumpy	2.697	6.253813559322033
book	6.728666666666666	3.229943502824858
unrealistic	3.191	4.618728813559322
overplayed	2.792	7.372881355932203
kneecap	4.4830000000000005	3.7005084745762713
mason	5.328	4.3559322033898304
elicit	4.194	5.457033898305085
midst	4.421	2.780338983050848
dagger	3.517333333333333	6.431468926553673
bomber	2.42	6.971694915254238
incredible	7.723	6.852966101694915
wanton	4.828	5.011440677966102
chemise	5.24	2.9406779661016955
cyclist	6.472	5.542372881355933
newsletter	5.583	3.7514406779661016
flower	7.118666666666667	3.293954802259887
overlay	5.045999999999999	4.4205084745762715
reimburse	6.34	4.721271186440678
starving	2.5180000000000002	5.666045197740114
reflecting	5.72	4.067796610169491
jaws	4.25	5.497372881355933
corporate	5.3180000000000005	4.598813559322034
unheard	3.956	4.178983050847458
stroll	6.605	3.6735593220338982
relaxing	8.011	3.1153389830508473
poet	7.2330000000000005	3.243135593220339
aback	4.08	4.059322033898305
bass	4.823	3.6129661016949153
jigsaw	5.401	4.771186440677967
contraband	2.998	6.91771186440678
codification	4.584	4.0
wishful	7.46	5.522033898305086
anaesthesia	3.8	2.4491525423728815
frequent	5.661	4.3682203389830505
replicate	4.895	4.9245762711864405
offered	5.656000000000001	4.76271186440678
jeopardy	2.936	6.267542372881356
toby	4.416	3.788135593220339
gaggle	5.248	4.521610169491526
farcical	4.248	4.686440677966102
sleeping	6.632000000000001	1.3813559322033897
overflowing	4.5120000000000005	7.3559322033898304
concluding	5.248	3.8474576271186445
scullery	4.611	3.498050847457627
submit	4.99	4.158389830508474
flyer	4.895	3.4562711864406777
foothold	5.792	3.643813559322034
wannasleep	5.832	3.406779661016949
clearness	8.0	3.288135593220339
laureate	6.792000000000001	4.016949152542373
dissertation	3.8979999999999997	4.596525423728814
prominent	5.808999999999999	4.986864406779661
kisser	7.541	6.119915254237288
finish	5.589	4.0278813559322035
modify	4.882	4.669661016949153
gymnast	5.976666666666667	5.540282485875706
hesitating	3.12	5.084745762711865
falsified	1.336	5.9491525423728815
loyal	7.675999999999999	3.8886440677966103
posse	4.351999999999999	4.671101694915254
monastery	5.651	2.330508474576271
daybreak	7.288	3.797033898305085
winged	6.034	4.227372881355932
manpower	5.6240000000000006	5.092203389830509
playa	5.716	4.346101694915254
cask	4.92	3.983050847457627
abeyance	3.64	4.932203389830509
schism	3.24	5.432203389830509
diabetes	2.074	4.325084745762712
silicone	4.55	3.465762711864407
worthwhile	7.481999999999999	3.776440677966102
nakedness	5.755	6.835423728813559
activation	6.693999999999999	5.454915254237289
estimable	7.367999999999999	4.067796610169491
chalk	4.54	2.538983050847458
segregate	3.32	5.923728813559323
partnership	6.894	3.8099152542372883
draft	4.901999999999999	3.880508474576271
multiplication	6.167999999999999	5.398305084745763
building	5.8	3.440282485875706
immerse	5.08	5.500000000000001
kicking	3.616	7.40677966101695
gunpoint	2.307	7.221949152542374
hell	1.9833333333333334	6.676610169491525
unbearable	2.05	6.566440677966101
etching	5.5360000000000005	4.771186440677966
turn	5.349	3.7315254237288134
pinhead	4.311	3.5262711864406775
tragedy	1.7686666666666664	6.931412429378532
lustrous	7.167999999999999	5.7457627118644075
doer	6.211	4.825593220338984
inwards	4.92	3.8728813559322033
bittersweet	4.920999999999999	4.821101694915255
desirable	6.9350000000000005	6.544491525423728
payer	3.504	5.9491525423728815
belated	3.565	3.5949999999999998
trout	5.3740000000000006	3.869915254237288
famous	7.066	5.702655367231639
sprite	5.6690000000000005	4.076016949152542
chat	6.291	4.135
convene	5.332	5.194491525423729
sarcoma	3.08	5.008474576271187
companion	7.205	3.9325423728813558
parallax	4.496	3.9491525423728815
agressive	1.6640000000000001	8.389830508474576
liberal	5.52	5.398305084745763
die	1.459	6.996610169491526
abstain	4.24	3.486440677966102
spaceship	5.877000000000001	6.614406779661017
dodger	4.558	4.203813559322034
potency	6.252	5.686864406779661
fetus	4.786	4.6242372881355935
sequestration	2.416	7.898305084745763
irregularly	3.336	5.398305084745763
controlling	4.056666666666666	5.379152542372882
revocation	3.08	5.779661016949153
barometer	4.552	2.9018644067796613
african	5.67	4.152457627118644
galactic	6.624	6.04406779661017
grit	4.571	3.6693220338983052
personal	6.545	3.4078813559322034
